title,url,points
Show HN: Chebyshev approximation calculator (open source web app),https://stuffmatic.com/chebyshev/,111
Experimental web browser optimized for rabbit-holing,https://szymonkaliski.com/projects/cartographist/,357
Meta Movie Gen,https://ai.meta.com/research/movie-gen/?_fb_noscript=1,287
Show HN: A tool for creating chord charts on the go,https://tiniuc.com/chord-chart-memo/,55
"Why does man print ""gimme gimme gimme"" at 00:30? (2017)",https://unix.stackexchange.com/questions/405783/why-does-man-print-gimme-gimme-gimme-at-0030,622
NumPy QuadDType: Quadruple Precision for Everyone – Labs,https://labs.quansight.org/blog/numpy-quaddtype-blog,5
Reverse Engineering and Dismantling Kekz Headphones,https://nv1t.github.io/blog/kekz-headphones/,118
ESP8266 Analog Broadcast Television Interface,https://github.com/cnlohr/channel3,10
Show HN: kew – A Terminal Music Player for Linux,https://github.com/ravachol/kew,38
Show HN: A pretty decent PDF to CSV converter,https://mightymerge.io/pdf-to-csv/,12
Nowadays (YC S23) Is Hiring a Founding Engineer,https://www.ycombinator.com/companies/nowadays,0
"Robert Dennard, DRAM Pioneer, has died",https://spectrum.ieee.org/in-memoriam-oct-2024,297
Why Is the Speed of Light So Fast? (Part 1),https://profmattstrassler.com/2024/10/01/why-is-the-speed-of-light-so-fast-part-1/,34
C64 OS Programmer's Guide,https://www.c64os.com/c64os/programmersguide/,52
Were RNNs all we needed?,https://arxiv.org/abs/2410.01201,417
"The Nobel-, Emmy-winning genius who became Google's star antitrust witness",https://www.semafor.com/article/10/02/2024/the-nobel-emmy-winning-genius-who-became-googles-star-antitrust-witness,9
"Patent troll Sable pays up, dedicates all its patents to the public",https://blog.cloudflare.com/patent-troll-sable-pays-up/,1166
Can we cut the AI Agent for X thing already,item?id=41741742,6
Why and how we’re migrating many of our servers from Linux to the BSDs,https://it-notes.dragas.net/2024/10/03/i-solve-problems-eurobsdcon/,248
"MikroPhone: A privacy enhanced, simple and featured RISC-V mobile phone",https://mikrophone.net/,185
Canvas is a new way to write and code with ChatGPT,https://openai.com/index/introducing-canvas/,858
The Silk Road (2023),https://www.historytoday.com/archive/feature/secrets-silk-road,47
Perfctl: A Stealthy Malware Targeting Linux Servers,https://www.aquasec.com/blog/perfctl-a-stealthy-malware-targeting-millions-of-linux-servers/,84
"Waymo and Hyundai enter multi-year, strategic partnership",https://waymo.com/blog/2024/10/waymo-and-hyundai-enter-partnership/,39
Self-locking and stiffening deployable tubular structures,https://www.pnas.org/doi/10.1073/pnas.2409062121,4
Holocron is an object storage based leader election library,https://github.com/kellabyte/holocron,19
Personal Names Around the World (2011),https://www.w3.org/International/questions/qa-personal-names,70
Apple Depth Pro: Sharp Monocular Metric Depth in Less Than a Second,https://github.com/apple/ml-depth-pro,18
Show HN: Screensavers for your terminal (Bevy/Ratatui),https://github.com/cxreiff/ttysvr,78
Some Automattic employees accept severance package offer,https://techcrunch.com/2024/10/04/159-employees-are-leaving-automattic-as-ceos-fight-with-wp-engine-escalates/,199
Dance training superior to physical exercise in inducing brain plasticity (2018),https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0196636,282
Correcting the record for Continue and PearAI,https://www.ycombinator.com/blog/correcting-the-record/,145
HTTrack Website Copier,https://github.com/xroche/httrack,97
Knowledge Growth and Specialization: Evidence from Oncologists,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4960603,6
Improving Accessibility Using Vision Models,https://myswamp.substack.com/p/improving-accessibility-using-vision,57
New research says blue zones can be explained by comically flawed data,https://www.independent.co.uk/life-style/blue-zones-netflix-ignobel-prize-b2622952.html,136
Determinism in League of Legends: Implementation (2017),https://technology.riotgames.com/news/determinism-league-legends-implementation,109
Sequencing wastewater may be key to getting a grip on the H5N1 bird flu outbreak,https://www.statnews.com/2024/09/27/h5n1-bird-flu-wastewater-surveillance-sequencing/,63
Serving 70B-scale LLMs efficiently on low-resource edge devices [pdf],https://arxiv.org/abs/2410.00531,235
The Heart of Unix (2018),https://ericnormand.me/article/the-heart-of-unix,139
FLUX1.1 [pro] – New SotA text-to-image model from Black Forest Labs,https://replicate.com/black-forest-labs/flux-1.1-pro,215
Migrating Seabirds Are Bringing Forever Chemicals into the Arctic,https://hakaimagazine.com/news/migrating-seabirds-are-bringing-forever-chemicals-into-the-arctic/,13
